"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 14:56:07 GMT 2024","Tue Apr 16 14:56:41 GMT 2024","33961","chromium","","","","","TS_03 - Verify download page",""
"passed","Tue Apr 16 14:56:07 GMT 2024","Tue Apr 16 14:56:35 GMT 2024","27882","chromium","","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Tue Apr 16 14:56:07 GMT 2024","Tue Apr 16 14:56:59 GMT 2024","51361","chromium","","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Tue Apr 16 14:56:07 GMT 2024","Tue Apr 16 14:56:29 GMT 2024","21961","chromium","","","","","TS_02 - Verify download page and links",""
"passed","Tue Apr 16 14:56:09 GMT 2024","Tue Apr 16 14:56:37 GMT 2024","28531","chromium","","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
