"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 11:56:12 GMT 2024","Wed Apr 10 11:56:15 GMT 2024","3363","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
"passed","Wed Apr 10 11:56:27 GMT 2024","Wed Apr 10 11:56:31 GMT 2024","3529","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Wed Apr 10 11:56:15 GMT 2024","Wed Apr 10 11:56:22 GMT 2024","7038","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 11:55:56 GMT 2024","Wed Apr 10 11:56:12 GMT 2024","15787","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Wed Apr 10 11:56:22 GMT 2024","Wed Apr 10 11:56:27 GMT 2024","5114","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
