"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 07:50:57 GMT 2024","Fri Apr 12 07:51:07 GMT 2024","10661","chromium","","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Fri Apr 12 07:50:55 GMT 2024","Fri Apr 12 07:51:11 GMT 2024","15107","chromium","","","","","TS_03 - Verify download page",""
"passed","Fri Apr 12 07:50:55 GMT 2024","Fri Apr 12 07:51:06 GMT 2024","10319","chromium","","","","","TS_02 - Verify download page and links",""
"passed","Fri Apr 12 07:50:55 GMT 2024","Fri Apr 12 07:51:05 GMT 2024","9550","chromium","","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Fri Apr 12 07:50:55 GMT 2024","Fri Apr 12 07:51:25 GMT 2024","29117","chromium","","","","","TS_01 - Verify navigation bar on the main page",""
