"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 14:54:02 GMT 2024","Thu Apr 11 14:54:07 GMT 2024","4678","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Thu Apr 11 14:53:50 GMT 2024","Thu Apr 11 14:53:54 GMT 2024","4091","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
"passed","Thu Apr 11 14:54:07 GMT 2024","Thu Apr 11 14:54:11 GMT 2024","4355","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Thu Apr 11 14:53:36 GMT 2024","Thu Apr 11 14:53:50 GMT 2024","14861","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Thu Apr 11 14:53:55 GMT 2024","Thu Apr 11 14:54:02 GMT 2024","7441","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
