"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 11:42:05 GMT 2024","Wed Apr 10 11:42:15 GMT 2024","10390","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 11:41:46 GMT 2024","Wed Apr 10 11:42:01 GMT 2024","14938","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Wed Apr 10 11:42:21 GMT 2024","Wed Apr 10 11:42:24 GMT 2024","3811","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Wed Apr 10 11:42:15 GMT 2024","Wed Apr 10 11:42:21 GMT 2024","5546","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Wed Apr 10 11:42:01 GMT 2024","Wed Apr 10 11:42:05 GMT 2024","4087","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
