"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 14:38:06 GMT 2024","Thu Apr 11 14:38:11 GMT 2024","4484","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Thu Apr 11 14:38:01 GMT 2024","Thu Apr 11 14:38:06 GMT 2024","5179","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Thu Apr 11 14:37:44 GMT 2024","Thu Apr 11 14:37:48 GMT 2024","4247","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
"passed","Thu Apr 11 14:37:48 GMT 2024","Thu Apr 11 14:38:01 GMT 2024","12375","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Thu Apr 11 14:37:21 GMT 2024","Thu Apr 11 14:37:44 GMT 2024","23219","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
