"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 17:33:23 GMT 2024","Wed Apr 10 17:33:27 GMT 2024","3850","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
"passed","Wed Apr 10 17:33:39 GMT 2024","Wed Apr 10 17:33:44 GMT 2024","4868","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Wed Apr 10 17:33:34 GMT 2024","Wed Apr 10 17:33:39 GMT 2024","4785","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Wed Apr 10 17:33:27 GMT 2024","Wed Apr 10 17:33:34 GMT 2024","7240","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 17:32:56 GMT 2024","Wed Apr 10 17:33:23 GMT 2024","27337","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
