"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 14:24:01 GMT 2024","Wed Apr 10 14:24:11 GMT 2024","10009","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 14:24:12 GMT 2024","Wed Apr 10 14:24:16 GMT 2024","4728","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Wed Apr 10 14:23:40 GMT 2024","Wed Apr 10 14:23:58 GMT 2024","18126","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Wed Apr 10 14:24:16 GMT 2024","Wed Apr 10 14:24:21 GMT 2024","4465","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Wed Apr 10 14:23:58 GMT 2024","Wed Apr 10 14:24:01 GMT 2024","3397","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
