"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 17:05:28 GMT 2024","Wed Apr 10 17:05:40 GMT 2024","12504","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 17:05:45 GMT 2024","Wed Apr 10 17:05:50 GMT 2024","4916","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Wed Apr 10 17:05:00 GMT 2024","Wed Apr 10 17:05:24 GMT 2024","23940","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Wed Apr 10 17:05:40 GMT 2024","Wed Apr 10 17:05:45 GMT 2024","4660","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Wed Apr 10 17:05:24 GMT 2024","Wed Apr 10 17:05:28 GMT 2024","4032","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
