"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 17:26:15 GMT 2024","Mon Apr 15 17:26:59 GMT 2024","44376","chromium","","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Mon Apr 15 17:26:15 GMT 2024","Mon Apr 15 17:26:35 GMT 2024","20086","chromium","","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Mon Apr 15 17:26:15 GMT 2024","Mon Apr 15 17:26:43 GMT 2024","28288","chromium","","","","","TS_03 - Verify download page",""
"passed","Mon Apr 15 17:26:16 GMT 2024","Mon Apr 15 17:26:35 GMT 2024","18812","chromium","","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Mon Apr 15 17:26:15 GMT 2024","Mon Apr 15 17:26:35 GMT 2024","20191","chromium","","","","","TS_02 - Verify download page and links",""
