"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 15:34:31 GMT 2024","Wed Apr 10 15:34:42 GMT 2024","11491","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 15:34:42 GMT 2024","Wed Apr 10 15:34:46 GMT 2024","4164","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Wed Apr 10 15:34:01 GMT 2024","Wed Apr 10 15:34:24 GMT 2024","23311","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Wed Apr 10 15:34:46 GMT 2024","Wed Apr 10 15:34:51 GMT 2024","5128","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Wed Apr 10 15:34:24 GMT 2024","Wed Apr 10 15:34:31 GMT 2024","6434","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
