"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 15:53:09 GMT 2024","Wed Apr 10 15:53:13 GMT 2024","3407","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
"passed","Wed Apr 10 15:53:43 GMT 2024","Wed Apr 10 15:53:48 GMT 2024","4584","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Wed Apr 10 15:53:36 GMT 2024","Wed Apr 10 15:53:43 GMT 2024","6696","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Wed Apr 10 15:52:41 GMT 2024","Wed Apr 10 15:53:09 GMT 2024","28484","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Wed Apr 10 15:53:48 GMT 2024","Wed Apr 10 15:53:53 GMT 2024","4812","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
