"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 14:47:43 GMT 2024","Mon Apr 15 14:48:15 GMT 2024","31368","chromium","","","","","TS_03 - Verify download page",""
"passed","Mon Apr 15 14:47:43 GMT 2024","Mon Apr 15 14:48:28 GMT 2024","44285","chromium","","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Mon Apr 15 14:47:43 GMT 2024","Mon Apr 15 14:48:08 GMT 2024","24184","chromium","","","","","TS_02 - Verify download page and links",""
"passed","Mon Apr 15 14:47:43 GMT 2024","Mon Apr 15 14:48:03 GMT 2024","20101","chromium","","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Mon Apr 15 14:47:45 GMT 2024","Mon Apr 15 14:48:05 GMT 2024","20115","chromium","","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
