"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 12:41:40 GMT 2024","Sun Apr 14 12:41:59 GMT 2024","19014","chromium","","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Sun Apr 14 12:41:39 GMT 2024","Sun Apr 14 12:42:01 GMT 2024","21446","chromium","","","","","TS_05 -  Authorization with valid data with not activated email",""
"passed","Sun Apr 14 12:41:39 GMT 2024","Sun Apr 14 12:42:25 GMT 2024","45651","chromium","","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Sun Apr 14 12:41:39 GMT 2024","Sun Apr 14 12:42:00 GMT 2024","21118","chromium","","","","","TS_02 - Verify download page and links",""
"passed","Sun Apr 14 12:41:39 GMT 2024","Sun Apr 14 12:42:07 GMT 2024","27864","chromium","","","","","TS_03 - Verify download page",""
